code,name
GFBE,Aquic Durinodic Haplocalcids
GFBF,Aquic Haplocalcids
GFBG,Duric Xeric Haplocalcids
GFBH,Duric Haplocalcids
GFBI,Durinodic Xeric Haplocalcids
GFBJ,Durinodic Haplocalcids
GFBK,Petronodic Xeric Haplocalcids
GFBL,Petronodic Ustic Haplocalcids
GFBM,Petronodic Haplocalcids
GFBN,Sodic Xeric Haplocalcids
GFBO,Sodic Ustic Haplocalcids
GFBP,Sodic Haplocalcids
GFBQ,Vitrixerandic Haplocalcids
GFBR,Vitrandic Haplocalcids
GFBS,Xeric Haplocalcids
GFBT,Ustic Haplocalcids
GFBU,Typic Haplocalcids
GFAA,Aquic Petrocalcids
GFAB,Natric Petrocalcids
GFAC,Xeralfic Petrocalcids
GFAD,Ustalfic Petrocalcids
GFAE,Argic Petrocalcids
GFAF,Calcic Lithic Petrocalcids
GFAG,Calcic Petrocalcids
GFAH,Xeric Petrocalcids
GFAI,Ustic Petrocalcids
GFAJ,Typic Petrocalcids
GGA,Aquicambids
GGB,Petrocambids
GGC,Haplocambids
GGAA,Sodic Aquicambids
GGAB,Durinodic Xeric Aquicambids
GGAC,Durinodic Aquicambids
GGAD,Petronodic Aquicambids
GGAE,Vitrixerandic Aquicambids
GGAF,Vitrandic Aquicambids
GGAG,Fluventic Aquicambids
GGAH,Xeric Aquicambids
GGAI,Ustic Aquicambids
GGAJ,Typic Aquicambids
GGCA,Lithic Xeric Haplocambids
GGCB,Lithic Ustic Haplocambids
GGCC,Lithic Haplocambids
GGCD,Xerertic Haplocambids
GGCE,Ustertic Haplocambids
GGCF,Vertic Haplocambids
GGCG,Durinodic Xeric Haplocambids
GGCH,Durinodic Haplocambids
GGCI,Petronodic Xeric Haplocambids
GGCJ,Petronodic Ustic Haplocambids
GGCK,Petronodic Haplocambids
GGCL,Sodic Xeric Haplocambids
GGCM,Sodic Ustic Haplocambids
GGCN,Sodic Haplocambids
GGCO,Vitrixerandic Haplocambids
GGCP,Vitrandic Haplocambids
GGCQ,Xerofluventic Haplocambids
GGCR,Ustifluventic Haplocambids
GGCS,Fluventic Haplocambids
GGCT,Anthropic Haplocambids
GGCU,Xeric Haplocambids
GGCV,Ustic Haplocambids
GGCW,Typic Haplocambids
GGBA,Sodic Petrocambids
GGBB,Vitrixerandic Petrocambids
GGBC,Vitrandic Petrocambids
GGBD,Xeric Petrocambids
GGBE,Ustic Petrocambids
GGBF,Typic Petrocambids
GAA,Salicryids
GAB,Petrocryids
GAC,Gypsicryids
GAD,Argicryids
GAE,Calcicryids
GAF,Haplocryids
GADA,Lithic Argicryids
GADB,Vertic Argicryids
GADC,Natric Argicryids
GADD,Vitrixerandic Argicryids
GADE,Vitrandic Argicryids
GADF,Xeric Argicryids
GADG,Ustic Argicryids
GADH,Typic Argicryids
GAEA,Lithic Calcicryids
GAEB,Vitrixerandic Calcicryids
GAEC,Vitrandic Calcicryids
GAED,Xeric Calcicryids
GAEE,Ustic Calcicryids
GAEF,Typic Calcicryids
GACA,Calcic Gypsicryids
GACB,Vitrixerandic Gypsicryids
GACC,Vitrandic Gypsicryids
GACD,Typic Gypsicryids
GAFA,Lithic Haplocryids
GAFB,Vertic Haplocryids
GAFC,Vitrixerandic Haplocryids
GAFD,Vitrandic Haplocryids
GAFE,Xeric Haplocryids
GAFF,Ustic Haplocryids
GAFG,Typic Haplocryids
GABA,Xereptic Petrocryids
GABB,Duric Xeric Petrocryids
GABC,Duric Petrocryids
GABD,Petrogypsic Petrocryids
GABE,Xeric Petrocryids
GABF,Ustic Petrocryids
GABG,Typic Petrocryids
GAAA,Aquic Salicryids
GAAB,Typic Salicryids
GCA,Natridurids
GCB,Argidurids
GCC,Haplodurids
GCBA,Vertic Argidurids
GCBB,Aquic Argidurids
GCBC,Abruptic Xeric Argidurids
GCBD,Abruptic Argidurids
GCBE,Haploxeralfic Argidurids
GCBF,Argidic Argidurids
GCBG,Vitrixerandic Argidurids
GCBH,Vitrandic Argidurids
GCBI,Xeric Argidurids
GCBJ,Ustic Argidurids
GCBK,Typic Argidurids
GCCA,Aquicambidic Haplodurids
GCCB,Aquic Haplodurids
GCCC,Xereptic Haplodurids
GCCD,Cambidic Haplodurids
GCCE,Vitrixerandic Haplodurids
GCCF,Vitrandic Haplodurids
GCCG,Xeric Haplodurids
GCCH,Ustic Haplodurids
GCCI,Typic Haplodurids
GCAA,Vertic Natridurids
GCAB,Aquic Natrargidic Natridurids
GCAC,Aquic Natridurids
GCAD,Natrixeralfic Natridurids
GCAE,Natrargidic Natridurids
GCAF,Vitrixerandic Natridurids
GCAG,Vitrandic Natridurids
GCAH,Xeric Natridurids
GCAI,Typic Natridurids
GDA,Petrogypsids
GDB,Natrigypsids
GDC,Argigypsids
GDD,Calcigypsids
GDE,Haplogypsids
GDCA,Lithic Argigypsids
GDCB,Vertic Argigypsids
GDCC,Calcic Argigypsids
GDCD,Petronodic Argigypsids
GDCE,Vitrixerandic Argigypsids
GDCF,Vitrandic Argigypsids
GDCG,Xeric Argigypsids
GDCH,Ustic Argigypsids
GDCI,Typic Argigypsids
GDDA,Lithic Calcigypsids
GDDB,Petronodic Calcigypsids
GDDC,Vitrixerandic Calcigypsids
GDDD,Vitrandic Calcigypsids
GDDE,Xeric Calcigypsids
GDDF,Ustic Calcigypsids
GDDG,Typic Calcigypsids
GDEA,Lithic Haplogypsids
GDEB,Leptic Haplogypsids
GDEC,Sodic Haplogypsids
GDED,Petronodic Haplogypsids
GDEE,Vitrixerandic Haplogypsids
GDEF,Vitrandic Haplogypsids
GDEG,Xeric Haplogypsids
GDEH,Ustic Haplogypsids
GDEI,Typic Haplogypsids
GDBA,Lithic Natrigypsids
GDBB,Vertic Natrigypsids
GDBC,Petronodic Natrigypsids
GDBD,Vitrixerandic Natrigypsids
GDBE,Vitrandic Natrigypsids
GDBF,Xeric Natrigypsids
GDBG,Ustic Natrigypsids
GDBH,Typic Natrigypsids
GDAA,Petrocalcic Petrogypsids
GDAB,Calcic Petrogypsids
GDAC,Vitrixerandic Petrogypsids
GDAD,Vitrandic Petrogypsids
GDAE,Xeric Petrogypsids
GDAF,Ustic Petrogypsids
GDAG,Typic Petrogypsids
GBA,Aquisalids
GBB,Haplosalids
GBAA,Anhydritic Aquisalids
GBAB,Gypsic Aquisalids
GBAC,Calcic Aquisalids
GBAD,Typic Aquisalids
GBBA,Duric Haplosalids
GBBB,Petrogypsic Haplosalids
GBBC,Anhydritic Haplosalids
GBBD,Gypsic Haplosalids
GBBE,Calcic Haplosalids
GBBF,Typic Haplosalids
LA,Wassents
LB,Aquents
LC,Psamments
LD,Fluvents
LE,Orthents
LBA,Sulfaquents
LBB,Hydraquents
LBC,Gelaquents
LBD,Cryaquents
LBE,Psammaquents
LBF,Fluvaquents
LBG,Epiaquents
LBH,Endoaquents
LBDA,Aquandic Cryaquents
LBDB,Typic Cryaquents
LBHA,Sulfic Endoaquents
LBHB,Lithic Endoaquents
LBHC,Sodic Endoaquents
LBHD,Aeric Endoaquents
LBHE,Humaqueptic Endoaquents
LBHF,Mollic Endoaquents
LBHG,Typic Endoaquents
LBGA,Aeric Epiaquents
LBGB,Humaqueptic Epiaquents
LBGC,Mollic Epiaquents
LBGD,Typic Epiaquents
LBFA,Sulfic Fluvaquents
LBFB,Vertic Fluvaquents
LBFC,Thapto-Histic Fluvaquents
LBFD,Aquandic Fluvaquents
LBFE,Aeric Fluvaquents
LBFF,Humaqueptic Fluvaquents
LBFG,Mollic Fluvaquents
LBFH,Typic Fluvaquents
LBCA,Typic Gelaquents
LBBA,Sulfic Hydraquents
LBBB,Sodic Hydraquents
LBBC,Thapto-Histic Hydraquents
LBBD,Typic Hydraquents
LBEA,Lithic Psammaquents
LBEB,Sodic Psammaquents
LBEC,Spodic Psammaquents
LBED,Humaqueptic Psammaquents
LBEE,Mollic Psammaquents
LBEF,Typic Psammaquents
LBAA,Haplic Sulfaquents
LBAB,Histic Sulfaquents
LBAC,Thapto-Histic Sulfaquents
LBAD,Typic Sulfaquents
LDA,Gelifluvents
LDB,Cryofluvents
LDC,Xerofluvents
LDD,Ustifluvents
LDE,Torrifluvents
LDF,Udifluvents
LDBA,Andic Cryofluvents
LDBB,Vitrandic Cryofluvents
LDBC,Aquic Cryofluvents
LDBD,Oxyaquic Cryofluvents
LDBE,Mollic Cryofluvents
LDBF,Typic Cryofluvents
LDAA,Aquic Gelifluvents
LDAB,Typic Gelifluvents
LDEA,Ustertic Torrifluvents
LDEB,Vertic Torrifluvents
LDEC,Vitrixerandic Torrifluvents
LDED,Vitrandic Torrifluvents
LDEE,Aquic Torrifluvents
LDEF,Oxyaquic Torrifluvents
LDEG,Duric Xeric Torrifluvents
LDEH,Duric Torrifluvents
LDEI,Ustic Torrifluvents
LDEJ,Xeric Torrifluvents
LDEK,Anthropic Torrifluvents
LDEL,Typic Torrifluvents
LDFA,Aquertic Udifluvents
LDFB,Vertic Udifluvents
LDFC,Andic Udifluvents
LDFD,Vitrandic Udifluvents
LDFE,Aquic Udifluvents
LDFF,Oxyaquic Udifluvents
LDFG,Mollic Udifluvents
LDFH,Typic Udifluvents
LDDA,Aquertic Ustifluvents
LDDB,Torrertic Ustifluvents
LDDC,Vertic Ustifluvents
LDDD,Anthraquic Ustifluvents
LDDE,Aquic Ustifluvents
LDDF,Oxyaquic Ustifluvents
LDDG,Aridic Ustifluvents
LDDH,Udic Ustifluvents
LDDI,Mollic Ustifluvents
LDDJ,Typic Ustifluvents
LDCA,Vertic Xerofluvents
LDCB,Aquandic Xerofluvents
LDCC,Andic Xerofluvents
LDCD,Vitrandic Xerofluvents
LDCE,Aquic Xerofluvents
LDCF,Oxyaquic Xerofluvents
LDCG,Durinodic Xerofluvents
LDCH,Mollic Xerofluvents
LDCI,Typic Xerofluvents
LEA,Gelorthents
LEB,Cryorthents
LEC,Torriorthents
LED,Xerorthents
LEE,Ustorthents
LEF,Udorthents
LEBA,Lithic Cryorthents
LEBB,Vitrandic Cryorthents
LEBC,Aquic Cryorthents
LEBD,Oxyaquic Cryorthents
LEBE,Lamellic Cryorthents
LEBF,Typic Cryorthents
LEAA,Aquic Gelorthents
LEAB,Oxyaquic Gelorthents
LEAC,Typic Gelorthents
LECA,Lithic Ustic Torriorthents
LECB,Lithic Xeric Torriorthents
LECC,Lithic Torriorthents
LECD,Xerertic Torriorthents
LECE,Ustertic Torriorthents
LECF,Vertic Torriorthents
LECG,Anthraltic Torriorthents
LECH,Vitrandic Torriorthents
LECI,Aquic Torriorthents
LECJ,Oxyaquic Torriorthents
LECK,Duric Torriorthents
LECL,Ustic Torriorthents
LECM,Xeric Torriorthents
LECN,Typic Torriorthents
LEFA,Lithic Udorthents
LEFB,Anthrodensic Sodic Udorthents
LEFC,Anthrodensic Udorthents
LEFD,Anthropic Udorthents
LEFE,Anthroportic Udorthents
LEFF,Vitrandic Udorthents
LEFG,Aquic Udorthents
LEFH,Oxyaquic Udorthents
LEFI,Vermic Udorthents
LEFJ,Typic Udorthents
LEEA,Aridic Lithic Ustorthents
LEEB,Lithic Ustorthents
LEEC,Torrertic Ustorthents
LEED,Vertic Ustorthents
LEEE,Anthraquic Ustorthents
LEEF,Anthrodensic Ustorthents
LEEG,Anthroportic Ustorthents
LEEH,Aquic Ustorthents
LEEI,Oxyaquic Ustorthents
LEEJ,Durinodic Ustorthents
LEEK,Vitritorrandic Ustorthents
LEEL,Vitrandic Ustorthents
LEEM,Aridic Ustorthents
LEEN,Udic Ustorthents
LEEO,Vermic Ustorthents
LEEP,Typic Ustorthents
LEDA,Lithic Xerorthents
LEDB,Anthraltic Sodic Xerorthents
LEDC,Anthraltic Xerorthents
LEDD,Vitrandic Xerorthents
LEDE,Aquic Xerorthents
LEDF,Oxyaquic Xerorthents
LEDG,Durinodic Xerorthents
LEDH,Dystric Xerorthents
LEDI,Typic Xerorthents
LCA,Cryopsamments
LCB,Torripsamments
LCC,Quartzipsamments
LCD,Ustipsamments
LCE,Xeropsamments
LCF,Udipsamments
LCAA,Lithic Cryopsamments
LCAB,Aquic Cryopsamments
LCAC,Oxyaquic Cryopsamments
LCAD,Vitrandic Cryopsamments
LCAE,Spodic Cryopsamments
LCAF,Lamellic Cryopsamments
LCAG,Typic Cryopsamments
LCCA,Lithic Quartzipsamments
LCCB,Aquodic Quartzipsamments
LCCC,Aquic Quartzipsamments
LCCD,Oxyaquic Quartzipsamments
LCCE,Ustoxic Quartzipsamments
LCCF,Udoxic Quartzipsamments
LCCG,Plinthic Quartzipsamments
LCCH,Lamellic Ustic Quartzipsamments
LCCI,Lamellic Quartzipsamments
LCCJ,Ustic Quartzipsamments
LCCK,Xeric Quartzipsamments
LCCL,Spodic Quartzipsamments
LCCM,Typic Quartzipsamments
LCBA,Lithic Torripsamments
LCBB,Oxyaquic Torripsamments
LCBC,Vitrandic Torripsamments
LCBD,Haploduridic Torripsamments
LCBE,Ustic Torripsamments
LCBF,Xeric Torripsamments
LCBG,Rhodic Torripsamments
LCBH,Typic Torripsamments
LCFA,Lithic Udipsamments
LCFB,Aquic Udipsamments
LCFC,Oxyaquic Udipsamments
LCFD,Spodic Udipsamments
LCFE,Lamellic Udipsamments
LCFF,Haploplaggic Udipsamments
LCFG,Typic Udipsamments
LCDA,Lithic Ustipsamments
LCDB,Aquic Ustipsamments
LCDC,Oxyaquic Ustipsamments
LCDD,Aridic Ustipsamments
LCDE,Lamellic Ustipsamments
LCDF,Rhodic Ustipsamments
LCDG,Typic Ustipsamments
LCEA,Lithic Xeropsamments
LCEB,Aquic Durinodic Xeropsamments
LCEC,Aquic Xeropsamments
LCED,Oxyaquic Xeropsamments
LCEE,Vitrandic Xeropsamments
LCEF,Durinodic Xeropsamments
LCEG,Lamellic Xeropsamments
LCEH,Dystric Xeropsamments
LCEI,Typic Xeropsamments
LAA,Frasiwassents
LAB,Psammowassents
LAC,Sulfiwassents
LAD,Hydrowassents
LAE,Fluviwassents
LAF,Haplowassents
LAEA,Sulfic Fluviwassents
LAEB,Lithic Fluviwassents
LAEC,Thapto-Histic Fluviwassents
LAED,Aeric Fluviwassents
LAEE,Typic Fluviwassents
LAAA,Hydric Frasiwassents
LAAB,Lithic Frasiwassents
LAAC,Psammentic Frasiwassents
LAAD,Thapto-Histic Frasiwassents
LAAE,Fluventic Frasiwassents
LAAF,Aeric Frasiwassents
LAAG,Typic Frasiwassents
LAFA,Sulfic Haplowassents
LAFB,Lithic Haplowassents
LAFC,Aeric Haplowassents
LAFD,Typic Haplowassents
LADA,Sulfic Hydrowassents
LADB,Grossic Hydrowassents
LADC,Lithic Hydrowassents
LADD,Thapto-Histic Hydrowassents
LADE,Typic Hydrowassents
LABA,Sulfic Psammowassents
LABB,Lithic Psammowassents
LABC,Fluventic Psammowassents
LABD,Aeric Psammowassents
LABE,Typic Psammowassents
LACA,Lithic Sulfiwassents
LACB,Haplic Sulfiwassents
LACC,Thapto-Histic Sulfiwassents
LACD,Fluventic Sulfiwassents
LACE,Aeric Sulfiwassents
LACF,Typic Sulfiwassents
AA,Histels
AB,Turbels
AC,Orthels
AAA,Folistels
AAB,Glacistels
AAC,Fibristels
AAD,Hemistels
AAE,Sapristels
AACA,Lithic Fibristels
AACB,Terric Fibristels
AACC,Fluvaquentic Fibristels
AACD,Sphagnic Fibristels
AACE,Typic Fibristels
AAAA,Lithic Folistels
AAAB,Glacic Folistels
AAAC,Typic Folistels
AABA,Hemic Glacistels
AABB,Sapric Glacistels
AABC,Typic Glacistels
AADA,Lithic Hemistels
AADB,Terric Hemistels
AADC,Fluvaquentic Hemistels
AADD,Typic Hemistels
AAEA,Lithic Sapristels
AAEB,Terric Sapristels
AAEC,Fluvaquentic Sapristels
AAED,Typic Sapristels
ACA,Historthels
ACB,Aquorthels
ACC,Anhyorthels
ACD,Mollorthels
ACE,Umbrorthels
ACF,Argiorthels
ACG,Psammorthels
ACH,Haplorthels
ACCA,Lithic Anhyorthels
ACCB,Glacic Anhyorthels
ACCC,Petrogypsic Anhyorthels
ACCD,Gypsic Anhyorthels
ACCE,Nitric Anhyorthels
ACCF,Salic Anhyorthels
ACCG,Calcic Anhyorthels
ACCH,Typic Anhyorthels
ACBA,Lithic Aquorthels
ACBB,Glacic Aquorthels
ACBC,Sulfuric Aquorthels
ACBD,Ruptic-Histic Aquorthels
ACBE,Andic Aquorthels
ACBF,Vitrandic Aquorthels
ACBG,Salic Aquorthels
ACBH,Psammentic Aquorthels
ACBI,Fluvaquentic Aquorthels
ACBJ,Typic Aquorthels
ACFA,Lithic Argiorthels
ACFB,Glacic Argiorthels
ACFC,Natric Argiorthels
ACFD,Typic Argiorthels
ACHA,Lithic Haplorthels
ACHB,Glacic Haplorthels
ACHC,Fluvaquentic Haplorthels
ACHD,Folistic Haplorthels
ACHE,Aquic Haplorthels
ACHF,Fluventic Haplorthels
ACHG,Typic Haplorthels
ACAA,Lithic Historthels
ACAB,Glacic Historthels
ACAC,Fluvaquentic Historthels
ACAD,Fluventic Historthels
ACAE,Ruptic Historthels
ACAF,Typic Historthels
ACDA,Lithic Mollorthels
ACDB,Glacic Mollorthels
ACDC,Vertic Mollorthels
ACDD,Andic Mollorthels
ACDE,Vitrandic Mollorthels
ACDF,Folistic Mollorthels
ACDG,Cumulic Mollorthels
ACDH,Aquic Mollorthels
ACDI,Typic Mollorthels
ACGA,Lithic Psammorthels
ACGB,Glacic Psammorthels
ACGC,Spodic Psammorthels
ACGD,Typic Psammorthels
ACEA,Lithic Umbrorthels
ACEB,Glacic Umbrorthels
ACEC,Vertic Umbrorthels
ACED,Andic Umbrorthels
ACEE,Vitrandic Umbrorthels
ACEF,Folistic Umbrorthels
ACEG,Cumulic Umbrorthels
ACEH,Aquic Umbrorthels
ACEI,Typic Umbrorthels
ABA,Histoturbels
ABB,Aquiturbels
ABC,Anhyturbels
ABD,Molliturbels
ABE,Umbriturbels
ABF,Psammoturbels
ABG,Haploturbels
ABCA,Lithic Anhyturbels
ABCB,Glacic Anhyturbels
ABCC,Petrogypsic Anhyturbels
ABCD,Gypsic Anhyturbels
ABCE,Nitric Anhyturbels
ABCF,Salic Anhyturbels
ABCG,Calcic Anhyturbels
ABCH,Typic Anhyturbels
ABBA,Lithic Aquiturbels
ABBB,Glacic Aquiturbels
ABBC,Sulfuric Aquiturbels
ABBD,Ruptic-Histic Aquiturbels
ABBE,Psammentic Aquiturbels
ABBF,Typic Aquiturbels
ABGA,Lithic Haploturbels
ABGB,Glacic Haploturbels
ABGC,Folistic Haploturbels
ABGD,Aquic Haploturbels
ABGE,Typic Haploturbels
ABAA,Lithic Histoturbels
ABAB,Glacic Histoturbels
ABAC,Ruptic Histoturbels
ABAD,Typic Histoturbels
ABDA,Lithic Molliturbels
ABDB,Glacic Molliturbels
ABDC,Vertic Molliturbels
ABDD,Andic Molliturbels
ABDE,Vitrandic Molliturbels
ABDF,Folistic Molliturbels
ABDG,Cumulic Molliturbels
ABDH,Aquic Molliturbels
ABDI,Typic Molliturbels
ABFA,Lithic Psammoturbels
ABFB,Glacic Psammoturbels
ABFC,Spodic Psammoturbels
ABFD,Typic Psammoturbels
ABEA,Lithic Umbriturbels
ABEB,Glacic Umbriturbels
ABEC,Vertic Umbriturbels
ABED,Andic Umbriturbels
ABEE,Vitrandic Umbriturbels
ABEF,Folistic Umbriturbels
ABEG,Cumulic Umbriturbels
ABEH,Aquic Umbriturbels
ABEI,Typic Umbriturbels
BA,Folists
BB,Wassists
BC,Fibrists
BD,Saprists
BE,Hemists
BCA,Cryofibrists
BCB,Sphagnofibrists
BCC,Haplofibrists
BCAA,Hydric Cryofibrists
BCAB,Lithic Cryofibrists
BCAC,Terric Cryofibrists
BCAD,Fluvaquentic Cryofibrists
BCAE,Sphagnic Cryofibrists
BCAF,Typic Cryofibrists
BCCA,Hydric Haplofibrists
BCCB,Lithic Haplofibrists
BCCC,Limnic Haplofibrists
BCCD,Terric Haplofibrists
BCCE,Fluvaquentic Haplofibrists
BCCF,Hemic Haplofibrists
BCCG,Typic Haplofibrists
BCBA,Hydric Sphagnofibrists
BCBB,Lithic Sphagnofibrists
BCBC,Limnic Sphagnofibrists
BCBD,Terric Sphagnofibrists
BCBE,Fluvaquentic Sphagnofibrists
BCBF,Hemic Sphagnofibrists
BCBG,Typic Sphagnofibrists
BAA,Cryofolists
BAB,Torrifolists
BAC,Ustifolists
BAD,Udifolists
BAAA,Lithic Cryofolists
BAAB,Typic Cryofolists
BABA,Lithic Torrifolists
BABB,Typic Torrifolists
BADA,Lithic Udifolists
BADB,Typic Udifolists
BACA,Lithic Ustifolists
BACB,Typic Ustifolists
BEA,Sulfohemists
BEB,Sulfihemists
BEC,Luvihemists
BED,Cryohemists
BEE,Haplohemists
BEDA,Hydric Cryohemists
BEDB,Lithic Cryohemists
BEDC,Terric Cryohemists
BEDD,Fluvaquentic Cryohemists
BEDE,Typic Cryohemists
BEEA,Hydric Haplohemists
BEEB,Lithic Haplohemists
BEEC,Limnic Haplohemists
BEED,Terric Haplohemists
BEEE,Fluvaquentic Haplohemists
BEEF,Fibric Haplohemists
BEEG,Sapric Haplohemists
BEEH,Typic Haplohemists
BECA,Typic Luvihemists
BEBA,Terric Sulfihemists
BEBB,Typic Sulfihemists
BEAA,Typic Sulfohemists
BDA,Sulfosaprists
BDB,Sulfisaprists
BDC,Cryosaprists
BDD,Haplosaprists
BDCA,Lithic Cryosaprists
BDCB,Limnic Cryosaprists
BDCC,Terric Cryosaprists
BDCD,Fluvaquentic Cryosaprists
BDCE,Typic Cryosaprists
BDDA,Lithic Haplosaprists
BDDB,Limnic Haplosaprists
BDDC,Halic Terric Haplosaprists
BDDD,Halic Haplosaprists
BDDE,Terric Haplosaprists
BDDF,Fluvaquentic Haplosaprists
BDDG,Hemic Haplosaprists
BDDH,Typic Haplosaprists
BDBA,Terric Sulfisaprists
BDBB,Typic Sulfisaprists
BDAA,Typic Sulfosaprists
BBA,Frasiwassists
BBB,Sulfiwassists
BBC,Haplowassists
BBAA,Fibric Frasiwassists
BBAB,Sapric Frasiwassists
BBAC,Typic Frasiwassists
BBCA,Sulfic Haplowassists
BBCB,Fibric Haplowassists
BBCC,Sapric Haplowassists
BBCD,Typic Haplowassists
BBBA,Fibric Sulfiwassists
BBBB,Sapric Sulfiwassists
BBBC,Typic Sulfiwassists
KA,Aquepts
KB,Gelepts
KC,Cryepts
KD,Ustepts
KE,Xerepts
KF,Udepts
KAA,Sulfaquepts
KAB,Petraquepts
KAC,Halaquepts
KAD,Fragiaquepts
KAE,Gelaquepts
KAF,Cryaquepts
KAG,Vermaquepts
KAH,Humaquepts
KAI,Epiaquepts
KAJ,Endoaquepts
KAFA,Sulfic Cryaquepts
KAFB,Histic Lithic Cryaquepts
KAFC,Lithic Cryaquepts
KAFD,Vertic Cryaquepts
KAFE,Histic Cryaquepts
KAFF,Aquandic Cryaquepts
KAFG,Fluvaquentic Cryaquepts
KAFH,Aeric Humic Cryaquepts
KAFI,Aeric Cryaquepts
KAFJ,Humic Cryaquepts
KAFK,Typic Cryaquepts
KAJA,Sulfic Endoaquepts
KAJB,Lithic Endoaquepts
KAJC,Vertic Endoaquepts
KAJD,Aquandic Endoaquepts
KAJE,Fluventic Endoaquepts
KAJF,Fluvaquentic Endoaquepts
KAJG,Fragic Endoaquepts
KAJH,Aeric Endoaquepts
KAJI,Humic Endoaquepts
KAJJ,Mollic Endoaquepts
KAJK,Typic Endoaquepts
KAIA,Vertic Epiaquepts
KAIB,Aquandic Epiaquepts
KAIC,Fluvaquentic Epiaquepts
KAID,Fragic Epiaquepts
KAIE,Aeric Epiaquepts
KAIF,Humic Epiaquepts
KAIG,Mollic Epiaquepts
KAIH,Typic Epiaquepts
KADA,Aeric Fragiaquepts
KADB,Humic Fragiaquepts
KADC,Typic Fragiaquepts
KAEA,Lithic Gelaquepts
KAEB,Histic Gelaquepts
KAEC,Aquandic Gelaquepts
KAED,Fluvaquentic Gelaquepts
KAEE,Humic Gelaquepts
KAEF,Turbic Gelaquepts
KAEG,Typic Gelaquepts
KACA,Vertic Halaquepts
KACB,Aquandic Halaquepts
KACC,Duric Halaquepts
KACD,Aeric Halaquepts
KACE,Typic Halaquepts
KAHA,Hydraquentic Humaquepts
KAHB,Histic Humaquepts
KAHC,Aquandic Humaquepts
KAHD,Cumulic Humaquepts
KAHE,Fluvaquentic Humaquepts
KAHF,Aeric Humaquepts
KAHG,Typic Humaquepts
